Animal ID,Datetime_of_Intake,MonthYear_of_Intake,Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Name,Datetime_of_Outcome,MonthYear_of_Outcome,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Length_of_Stay
A620178,2014-03-25 15:36:00,3/25/2014 15:36,Austin (TX),Owner Surrender,Normal,Spayed Female,4 years,*Melody,2014-03-13 15:29:00,3/13/2014 15:29,2/14/2010,Adoption,,Dog,Spayed Female,4 years,Dogue De Bordeaux Mix,Brown/White,-13 days +23:53:00.000000000
A621011,2019-10-22 08:12:00,10/22/2019 8:12,8402 Colony Loop in Austin (TX),Owner Surrender,Sick,Spayed Female,9 years,Princess,2019-10-22 00:00:00,10/22/2019 0:00,2/28/2010,Euthanasia,At Vet,Dog,Spayed Female,9 years,Blue Lacy/Black Mouth Cur,Brown/White,-1 days +15:48:00.000000000
A622128,2014-01-27 13:19:00,1/27/2014 13:19,Austin (TX),Owner Surrender,Normal,Spayed Female,1 year,Ginger,2014-01-19 14:43:00,1/19/2014 14:43,2/9/2012,Adoption,,Dog,Spayed Female,1 year,Boxer Mix,Brown Brindle/White,-8 days +01:24:00.000000000
A622215,2014-07-28 16:40:00,7/28/2014 16:40,Austin (TX),Owner Surrender,Normal,Neutered Male,5 years,*Herk,2014-07-27 14:51:00,7/27/2014 14:51,3/24/2009,Adoption,,Dog,Neutered Male,5 years,American Pit Bull Terrier Mix,Red/White,-2 days +22:11:00.000000000
A631581,2014-02-01 14:36:00,2/1/2014 14:36,Austin (TX),Owner Surrender,Normal,Spayed Female,4 years,Lola,2014-01-04 19:23:00,1/4/2014 19:23,7/5/2009,Adoption,Foster,Dog,Spayed Female,4 years,Bull Terrier Mix,Black/White,-28 days +04:47:00.000000000
A632791,2018-01-21 13:18:00,1/21/2018 13:18,Austin (TX),Owner Surrender,Normal,Neutered Male,7 years,Leonard,2014-08-15 12:10:00,8/15/2014 12:10,7/23/2010,Adoption,Foster,Dog,Neutered Male,4 years,Labrador Retriever Mix,Black,-1256 days +22:52:00.000000000
A632791,2019-06-22 11:39:00,6/22/2019 11:39,Austin (TX),Owner Surrender,Normal,Neutered Male,8 years,Leonard,2018-05-06 13:21:00,5/6/2018 13:21,7/23/2010,Rto-Adopt,,Dog,Neutered Male,7 years,Labrador Retriever Mix,Black,-412 days +01:42:00.000000000
A643280,2014-01-27 17:11:00,1/27/2014 17:11,Bastrop (TX),Owner Surrender,Normal,Spayed Female,3 years,Nala,2014-01-20 17:24:00,1/20/2014 17:24,12/7/2010,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,White/Blue Cream,-7 days +00:13:00.000000000
A643401,2013-10-27 16:52:00,10/27/2013 16:52,2203 Lindell in Austin (TX),Stray,Normal,Spayed Female,3 years,Maggie,2013-10-07 12:33:00,10/7/2013 12:33,6/9/2010,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Brown/White,-21 days +19:41:00.000000000
A644525,2013-12-15 12:10:00,12/15/2013 12:10,S 1St St/Oltorf in Austin (TX),Stray,Normal,Spayed Female,3 years,*Katie,2013-12-06 12:34:00,12/6/2013 12:34,12/28/2009,Transfer,Partner,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White,-9 days +00:24:00.000000000
A647489,2016-07-03 08:11:00,7/3/2016 8:11,Dittmar & Manchaca in Austin (TX),Stray,Normal,Spayed Female,4 years,Odessa,2016-07-03 00:00:00,7/3/2016 0:00,2/11/2012,Return to Owner,,Dog,Spayed Female,4 years,Labrador Retriever/Pit Bull,Red,-1 days +15:49:00.000000000
A648300,2014-08-14 15:53:00,8/14/2014 15:53,Austin (TX),Owner Surrender,Normal,Neutered Male,4 years,Vito,2014-02-06 14:58:00,2/6/2014 14:58,3/6/2010,Adoption,,Dog,Neutered Male,3 years,Cane Corso Mix,Blue,-190 days +23:05:00.000000000
A648300,2014-12-09 18:40:00,12/9/2014 18:40,Austin (TX),Public Assist,Normal,Neutered Male,4 years,Vito,2014-08-18 11:13:00,8/18/2014 11:13,3/6/2010,Transfer,Partner,Dog,Neutered Male,4 years,Cane Corso Mix,Blue,-114 days +16:33:00.000000000
A649025,2014-03-17 16:40:00,3/17/2014 16:40,Austin (TX),Owner Surrender,Normal,Spayed Female,3 years,*Ayla,2013-11-17 18:03:00,11/17/2013 18:03,9/8/2010,Adoption,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White,-120 days +01:23:00.000000000
A649365,2016-11-21 13:34:00,11/21/2016 13:34,1100 Shady Ln in Austin (TX),Stray,Normal,Neutered Male,5 years,*Barley,2014-05-04 16:46:00,5/4/2014 16:46,9/14/2011,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White,-932 days +03:12:00.000000000
A649481,2015-07-17 12:08:00,7/17/2015 12:08,Austin (TX),Public Assist,Normal,Neutered Male,3 years,Rizer,2013-11-18 18:54:00,11/18/2013 18:54,5/16/2012,Adoption,,Dog,Neutered Male,1 year,Catahoula Mix,Brown Brindle/White,-606 days +06:46:00.000000000
A652198,2014-02-15 15:24:00,2/15/2014 15:24,Austin (TX),Owner Surrender,Normal,Spayed Female,2 years,Essie,2014-02-06 17:00:00,2/6/2014 17:00,10/21/2011,Adoption,,Dog,Spayed Female,2 years,Feist Mix,Tan/White,-9 days +01:36:00.000000000
A652198,2014-04-05 14:19:00,4/5/2014 14:19,Austin (TX),Owner Surrender,Normal,Spayed Female,2 years,Essie,2014-03-13 17:00:00,3/13/2014 17:00,10/21/2011,Adoption,,Dog,Spayed Female,2 years,Feist Mix,Tan/White,-23 days +02:41:00.000000000
A653434,2017-09-29 12:14:00,9/29/2017 12:14,12511 Fm 1625 in Travis (TX),Stray,Normal,Spayed Female,9 years,Sprite,2014-01-08 15:02:00,1/8/2014 15:02,5/6/2008,Return to Owner,,Dog,Spayed Female,5 years,Labrador Retriever Mix,Black,-1360 days +02:48:00.000000000
A656696,2013-10-13 12:52:00,10/13/2013 12:52,Austin (TX),Owner Surrender,Normal,Spayed Female,2 years,*Angel,2013-10-10 17:21:00,10/10/2013 17:21,6/18/2011,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby,-3 days +04:29:00.000000000
A657016,2016-05-19 14:25:00,5/19/2016 14:25,2600 Scofield Ridge Pkwy in Travis (TX),Stray,Injured,Intact Male,3 years,Trap,2016-05-19 00:00:00,5/19/2016 0:00,12/22/2012,Died,Enroute,Dog,Intact Male,3 years,Pit Bull Mix,Black/White,-1 days +09:35:00.000000000
A657188,2013-11-10 17:19:00,11/10/2013 17:19,Austin (TX),Owner Surrender,Normal,Neutered Male,14 years,Tommy,2013-10-29 11:07:00,10/29/2013 11:07,6/24/1999,Adoption,Foster,Cat,Neutered Male,14 years,Domestic Shorthair Mix,Brown Tabby/White,-13 days +17:48:00.000000000
A658212,2015-03-17 14:51:00,3/17/2015 14:51,Austin (TX),Owner Surrender,Normal,Neutered Male,1 year,Bobo,2013-10-10 10:31:00,10/10/2013 10:31,6/7/2013,Adoption,Foster,Dog,Neutered Male,4 months,Chihuahua Shorthair Mix,Buff,-524 days +19:40:00.000000000
A658212,2015-03-21 15:25:00,3/21/2015 15:25,Austin (TX),Owner Surrender,Normal,Neutered Male,1 year,Bobo,2015-03-20 16:56:00,3/20/2015 16:56,6/7/2013,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Buff,-1 days +01:31:00.000000000
A658375,2013-12-29 16:19:00,12/29/2013 16:19,Austin (TX),Owner Surrender,Normal,Spayed Female,9 months,*Annalea,2013-11-03 13:31:00,11/3/2013 13:31,3/9/2013,Adoption,,Dog,Spayed Female,7 months,Labrador Retriever/Australian Kelpie,Black,-57 days +21:12:00.000000000
A658799,2015-01-20 10:27:00,1/20/2015 10:27,Austin (TX),Owner Surrender,Normal,Neutered Male,1 year,Boi,2013-12-26 16:50:00,12/26/2013 16:50,7/16/2013,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black,-390 days +06:23:00.000000000
A658836,2014-02-11 11:18:00,2/11/2014 11:18,Austin (TX),Owner Surrender,Normal,Spayed Female,13 years,Princess,2014-01-25 15:08:00,1/25/2014 15:08,7/16/2000,Adoption,Foster,Cat,Spayed Female,13 years,Domestic Longhair Mix,Blue Tabby/White,-17 days +03:50:00.000000000
A658836,2017-02-04 09:56:00,2/4/2017 9:56,Austin (TX),Owner Surrender,Normal,Spayed Female,16 years,Princess,2014-07-16 17:33:00,7/16/2014 17:33,7/16/2000,Adoption,,Cat,Spayed Female,14 years,Domestic Longhair Mix,Blue Tabby/White,-934 days +07:37:00.000000000
A658843,2014-12-09 11:01:00,12/9/2014 11:01,183 And Mcdonald in Austin (TX),Stray,Normal,Neutered Male,3 years,Rudy,2013-11-21 13:39:00,11/21/2013 13:39,7/16/2011,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White,-383 days +02:38:00.000000000
A658843,2015-03-29 14:51:00,3/29/2015 14:51,2416 Burleson Court in Austin (TX),Owner Surrender,Normal,Neutered Male,3 years,Rudy,2015-02-04 13:34:00,2/4/2015 13:34,7/16/2011,Adoption,,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White,-54 days +22:43:00.000000000
A658843,2016-04-11 12:00:00,4/11/2016 12:00,Austin (TX),Public Assist,Normal,Neutered Male,4 years,Rudy,2015-06-08 11:59:00,6/8/2015 11:59,7/16/2011,Adoption,,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White,-309 days +23:59:00.000000000
A658972,2015-02-24 07:36:00,2/24/2015 7:36,North Austin in Austin (TX),Stray,Normal,Neutered Male,1 year,*Hugo,2013-11-14 16:07:00,11/14/2013 16:07,6/8/2013,Transfer,Partner,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Brown Tabby/White,-467 days +08:31:00.000000000
A659115,2015-10-17 15:46:00,10/17/2015 15:46,11740 Manchaca in Austin (TX),Stray,Normal,Spayed Female,4 years,Hope,2013-10-12 18:03:00,10/12/2013 18:03,7/19/2011,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Brindle/White,-735 days +02:17:00.000000000
A659188,2016-03-07 17:52:00,3/7/2016 17:52,Jesse Owens And Jim Thorpe in Austin (TX),Stray,Normal,Spayed Female,3 years,Hoochie,2013-10-31 18:47:00,10/31/2013 18:47,7/20/2012,Adoption,,Dog,Spayed Female,1 year,American Staffordshire Terrier Mix,Brown Brindle/White,-858 days +00:55:00.000000000
A659262,2014-01-07 15:32:00,1/7/2014 15:32,1401 E 12Th St in Austin (TX),Stray,Normal,Neutered Male,7 years,*Bubbles,2013-12-16 18:20:00,12/16/2013 18:20,9/22/2006,Adoption,,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Black/White,-22 days +02:48:00.000000000
A659262,2014-08-29 12:35:00,8/29/2014 12:35,Austin (TX),Owner Surrender,Normal,Neutered Male,7 years,*Bubbles,2014-01-22 17:34:00,1/22/2014 17:34,9/22/2006,Adoption,,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Black/White,-219 days +04:59:00.000000000
A659614,2013-12-31 12:53:00,12/31/2013 12:53,Austin (TX),Owner Surrender,Normal,Spayed Female,1 year,Alexandra,2013-11-02 12:46:00,11/2/2013 12:46,7/27/2012,Adoption,,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Black/White,-60 days +23:53:00.000000000
A659615,2013-10-21 18:00:00,10/21/2013 18:00,Austin (TX),Owner Surrender,Normal,Neutered Male,3 months,*Alexander,2013-10-20 14:30:00,10/20/2013 14:30,7/12/2013,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue,-2 days +20:30:00.000000000
A659621,2013-10-21 18:00:00,10/21/2013 18:00,Austin (TX),Owner Surrender,Normal,Spayed Female,3 months,*Olga,2013-10-20 14:30:00,10/20/2013 14:30,7/12/2013,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie,-2 days +20:30:00.000000000
A659667,2013-10-26 15:03:00,10/26/2013 15:03,12507 Esplanade in Austin (TX),Stray,Normal,Neutered Male,8 years,,2013-10-26 13:34:00,10/26/2013 13:34,7/28/2005,Transfer,SCRP,Cat,Neutered Male,8 years,Domestic Longhair Mix,Blue/White,-1 days +22:31:00.000000000
A659830,2014-04-15 09:02:00,4/15/2014 9:02,Austin (TX),Owner Surrender,Normal,Neutered Male,8 months,*Harry,2013-10-18 10:53:00,10/18/2013 10:53,7/23/2013,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever/Doberman Pinsch,Black,-179 days +01:51:00.000000000
A659832,2013-12-05 15:37:00,12/5/2013 15:37,Austin (TX),Owner Surrender,Normal,Neutered Male,4 months,*Cooper,2013-10-07 16:17:00,10/7/2013 16:17,7/23/2013,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever/Rhod Ridgeback,Brown,-59 days +00:40:00.000000000
A659835,2014-05-13 11:57:00,5/13/2014 11:57,Lago Vista/Jonestown in Jonestown (TX),Stray,Normal,Neutered Male,9 months,*Moon Doggie,2013-10-04 09:17:00,10/4/2013 9:17,7/23/2013,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever/Doberman Pinsch,Black,-222 days +21:20:00.000000000
A659836,2014-05-13 11:57:00,5/13/2014 11:57,Lago Vista/Jonestown in Jonestown (TX),Stray,Normal,Spayed Female,9 months,*Thelma,2013-10-11 10:10:00,10/11/2013 10:10,7/23/2013,Adoption,Foster,Dog,Spayed Female,2 months,Labrador Retriever/Doberman Pinsch,Black,-215 days +22:13:00.000000000
A659904,2015-07-03 18:49:00,7/3/2015 18:49,Autumn Bay Dr in Austin (TX),Stray,Normal,Spayed Female,6 years,Bella,2013-11-11 17:29:00,11/11/2013 17:29,1/31/2009,Adoption,,Dog,Spayed Female,4 years,Catahoula/American Pit Bull Terrier,White/Brown,-600 days +22:40:00.000000000
A660098,2014-07-04 18:48:00,7/4/2014 18:48,Austin (TX),Owner Surrender,Normal,Spayed Female,2 years,Delilah,2013-10-14 11:42:00,10/14/2013 11:42,8/3/2011,Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Merle/White,-264 days +16:54:00.000000000
A660101,2013-11-06 09:44:00,11/6/2013 9:44,Austin (TX),Owner Surrender,Normal,Spayed Female,6 years,Bella,2013-10-22 10:41:00,10/22/2013 10:41,8/3/2007,Adoption,Foster,Cat,Spayed Female,6 years,Domestic Shorthair Mix,White,-15 days +00:57:00.000000000
A660279,2013-12-09 10:58:00,12/9/2013 10:58,15106 Mossy Cup Ln in Austin (TX),Stray,Normal,Neutered Male,1 year,*Indigo,2013-10-08 17:49:00,10/8/2013 17:49,8/6/2012,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White,-62 days +06:51:00.000000000
A660347,2018-02-16 16:02:00,2/16/2018 16:02,5010 Old Manor Road in Austin (TX),Stray,Normal,Spayed Female,4 years,Amelia,2014-01-01 17:18:00,1/1/2014 17:18,6/30/2013,Adoption,Foster,Cat,Spayed Female,6 months,Domestic Medium Hair Mix,Tortie,-1507 days +01:16:00.000000000
A660458,2013-10-19 16:04:00,10/19/2013 16:04,Travis (TX),Owner Surrender,Normal,Neutered Male,1 year,*Aztec,2013-10-15 19:03:00,10/15/2013 19:03,8/7/2012,Adoption,,Dog,Neutered Male,1 year,Border Collie/Anatol Shepherd,White/Brown,-4 days +02:59:00.000000000
A660489,2013-11-04 11:24:00,11/4/2013 11:24,Austin (TX),Owner Surrender,Normal,Spayed Female,1 year,*Millie,2013-11-03 18:11:00,11/3/2013 18:11,8/8/2012,Adoption,,Dog,Spayed Female,1 year,German Shepherd/Labrador Retriever,Black,-1 days +06:47:00.000000000
A660594,2014-01-03 11:27:00,1/3/2014 11:27,Williamson (TX),Owner Surrender,Normal,Spayed Female,5 months,Ella,2013-12-30 17:31:00,12/30/2013 17:31,7/29/2013,Adoption,Foster,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Orange Tabby,-4 days +06:04:00.000000000
A660928,2014-12-02 17:44:00,12/2/2014 17:44,Austin (TX),Public Assist,Normal,Spayed Female,7 months,Sadie,2013-12-01 13:19:00,12/1/2013 13:19,4/3/2014,Transfer,Partner,Dog,Spayed Female,0 years,Labrador Retriever Mix,Black/White,-367 days +19:35:00.000000000
A661049,2014-01-08 17:50:00,1/8/2014 17:50,1401 Bowie Knife in Burnet (TX),Owner Surrender,Normal,Spayed Female,6 years,Kitten,2013-12-10 12:04:00,12/10/2013 12:04,8/15/2007,Adoption,,Cat,Spayed Female,6 years,Domestic Longhair Mix,Brown Tabby/White,-30 days +18:14:00.000000000
A661049,2014-02-07 12:20:00,2/7/2014 12:20,Austin (TX),Owner Surrender,Normal,Spayed Female,6 years,Kitten,2014-01-17 19:11:00,1/17/2014 19:11,8/15/2007,Adoption,,Cat,Spayed Female,6 years,Domestic Longhair Mix,Brown Tabby/White,-21 days +06:51:00.000000000
A661049,2017-01-18 12:57:00,1/18/2017 12:57,Austin (TX),Owner Surrender,Normal,Spayed Female,9 years,Kitten,2014-04-25 16:51:00,4/25/2014 16:51,8/15/2007,Adoption,,Cat,Spayed Female,6 years,Domestic Longhair Mix,Brown Tabby/White,-999 days +03:54:00.000000000
A661049,2018-07-13 12:00:00,7/13/2018 12:00,Outside Jurisdiction,Owner Surrender,Normal,Spayed Female,10 years,Kitten,2017-02-11 13:24:00,2/11/2017 13:24,8/15/2007,Adoption,Foster,Cat,Spayed Female,9 years,Domestic Longhair Mix,Brown Tabby/White,-517 days +01:24:00.000000000
A661097,2017-06-02 17:06:00,6/2/2017 17:06,Austin (TX),Public Assist,Normal,Neutered Male,4 years,Remi,2013-10-04 09:13:00,10/4/2013 9:13,8/15/2012,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby,-1338 days +16:07:00.000000000
A661150,2015-09-24 15:29:00,9/24/2015 15:29,Austin (TX),Owner Surrender,Normal,Neutered Male,2 years,Mac,2013-10-13 13:14:00,10/13/2013 13:14,6/19/2013,Adoption,Foster,Dog,Neutered Male,3 months,Australian Cattle Dog Mix,White/Tan,-712 days +21:45:00.000000000
A661152,2015-09-19 14:59:00,9/19/2015 14:59,Austin (TX),Owner Surrender,Normal,Spayed Female,5 years,Echo,2013-11-13 11:58:00,11/13/2013 11:58,8/16/2010,Adoption,Foster,Dog,Spayed Female,3 years,Pit Bull Mix,White/Brown Brindle,-676 days +20:59:00.000000000
A661587,2013-12-11 16:02:00,12/11/2013 16:02,Austin (TX),Owner Surrender,Normal,Spayed Female,8 years,Nicky,2013-12-08 17:29:00,12/8/2013 17:29,8/22/2005,Adoption,,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Black/White,-3 days +01:27:00.000000000
A661697,2017-02-07 15:16:00,2/7/2017 15:16,11901 Hobby Horse in Austin (TX),Public Assist,Normal,Neutered Male,3 years,Timmy,2013-10-20 12:26:00,10/20/2013 12:26,7/16/2013,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby,-1207 days +21:10:00.000000000
A661830,2013-10-15 08:25:00,10/15/2013 8:25,Jollyville At Balcones in Austin (TX),Stray,Normal,Intact Female,1 year,Amalia,2013-10-01 17:58:00,10/1/2013 17:58,8/25/2012,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Torbie,-14 days +09:33:00.000000000
A662104,2014-01-27 13:34:00,1/27/2014 13:34,Rundberg Ln And N Lamar in Austin (TX),Stray,Normal,Spayed Female,3 years,Gracie,2013-10-01 15:47:00,10/1/2013 15:47,8/29/2010,Adoption,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White,-118 days +02:13:00.000000000
A662104,2014-03-09 10:57:00,3/9/2014 10:57,8857 Research Blvd in Austin (TX),Stray,Normal,Spayed Female,3 years,Gracie,2014-01-28 14:43:00,1/28/2014 14:43,8/29/2010,Return to Owner,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White,-40 days +03:46:00.000000000
A662156,2013-11-30 14:03:00,11/30/2013 14:03,Austin (TX),Owner Surrender,Normal,Neutered Male,7 years,Luno,2013-10-22 10:44:00,10/22/2013 10:44,8/30/2006,Adoption,Foster,Cat,Neutered Male,7 years,Domestic Longhair Mix,White/Black,-40 days +20:41:00.000000000
A662170,2013-12-29 14:42:00,12/29/2013 14:42,Austin (TX),Owner Surrender,Normal,Neutered Male,10 years,Felix,2013-12-03 17:19:00,12/3/2013 17:19,1/1/2004,Adoption,,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Brown Tabby,-26 days +02:37:00.000000000
A662170,2014-01-25 15:44:00,1/25/2014 15:44,Austin (TX),Owner Surrender,Normal,Neutered Male,10 years,Felix,2014-01-17 17:51:00,1/17/2014 17:51,1/1/2004,Adoption,,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Brown Tabby,-8 days +02:07:00.000000000
A662273,2016-12-29 16:08:00,12/29/2016 16:08,7801 N Capital Of Texas Hwy in Austin (TX),Stray,Normal,Spayed Female,5 years,Mia Badia,2013-12-21 11:57:00,12/21/2013 11:57,9/1/2011,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Chocolate/White,-1105 days +19:49:00.000000000
A662273,2017-04-09 11:56:00,4/9/2017 11:56,Williamson (TX),Stray,Normal,Spayed Female,5 years,Mia Badia,2017-01-31 00:00:00,1/31/2017 0:00,9/1/2011,Adoption,,Dog,Spayed Female,5 years,Pit Bull Mix,Chocolate/White,-69 days +12:04:00.000000000
A662301,2020-01-25 12:21:00,1/25/2020 12:21,Austin (TX),Owner Surrender,Normal,Spayed Female,7 years,Emma,2013-11-03 16:10:00,11/3/2013 16:10,9/1/2012,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie,-2274 days +03:49:00.000000000
A662329,2014-02-09 16:23:00,2/9/2014 16:23,Austin (TX),Owner Surrender,Normal,Neutered Male,1 year,*Dexter,2014-01-24 17:02:00,1/24/2014 17:02,11/2/2012,Adoption,,Dog,Neutered Male,1 year,Pit Bull/Catahoula,White/Brown,-16 days +00:39:00.000000000
A662398,2013-10-25 17:20:00,10/25/2013 17:20,Austin (TX),Owner Surrender,Normal,Neutered Male,2 years,Buddy,2013-10-24 18:04:00,10/24/2013 18:04,9/3/2011,Adoption,,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Tan/White,-1 days +00:44:00.000000000
A662401,2016-07-30 11:50:00,7/30/2016 11:50,Austin (TX),Owner Surrender,Normal,Neutered Male,10 years,*Chaco,2013-11-24 13:10:00,11/24/2013 13:10,4/1/2006,Transfer,Partner,Dog,Neutered Male,7 years,Pit Bull Mix,White/Blue,-979 days +01:20:00.000000000
A662491,2013-11-15 11:57:00,11/15/2013 11:57,Austin (TX),Owner Surrender,Normal,Spayed Female,3 months,*Caramel,2013-11-14 19:07:00,11/14/2013 19:07,8/13/2013,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,-1 days +07:10:00.000000000
A662685,2015-08-12 16:24:00,8/12/2015 16:24,Western Trail & West Gate in Austin (TX),Stray,Normal,Spayed Female,3 years,*Lola,2014-01-21 18:28:00,1/21/2014 18:28,12/12/2011,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Red/White,-568 days +02:04:00.000000000
